Date,Day of week,kilometres,moving average ,moving sum,coloured scale of moving sum,change in moving sum
12/02/2022,Saturday,6.0,6.0,6.0,6.0,
13/02/2022,Sunday,0.0,0.0,0.0,0.0,0.0
14/02/2022,Monday,0.0,0.0,0.0,0.0,0.0
15/02/2022,Tuesday,0.0,0.0,0.0,0.0,0.0
16/02/2022,Wednesday,12.2,2.6,18.2,18.2,0.0
17/02/2022,Thursday,0.0,3.03,21.23,21.23,1.17
18/02/2022,Friday,0.0,2.6,18.2,18.2,0.86
19/02/2022,Saturday,10.4,3.23,22.6,22.6,1.24
20/02/2022,Sunday,0.0,3.23,22.6,22.6,1.0
21/02/2022,Monday,10.0,4.66,32.6,32.6,1.44
22/02/2022,Tuesday,14.0,6.66,46.6,46.6,1.43
23/02/2022,Wednesday,0.0,4.91,34.4,34.4,0.74
24/02/2022,Thursday,10.0,6.34,44.4,44.4,1.29
25/02/2022,Friday,0.0,6.34,44.4,44.4,1.0
26/02/2022,Saturday,11.0,6.43,45.0,45.0,1.01
27/02/2022,Sunday,18.0,9.0,63.0,63.0,1.4
28/02/2022,Monday,0.0,7.57,53.0,53.0,0.84
01/03/2022,Tuesday,15.0,7.71,54.0,54.0,1.02
02/03/2022,Wednesday,0.0,7.71,54.0,54.0,1.0
03/03/2022,Thursday,0.0,6.29,44.0,44.0,0.81
04/03/2022,Friday,0.0,6.29,44.0,44.0,1.0
05/03/2022,Saturday,6.0,5.57,39.0,39.0,0.89
06/03/2022,Sunday,12.0,4.71,33.0,33.0,0.85
07/03/2022,Monday,0.0,4.71,33.0,33.0,1.0
08/03/2022,Tuesday,11.0,4.14,29.0,29.0,0.88
09/03/2022,Wednesday,11.0,5.71,40.0,40.0,1.38
10/03/2022,Thursday,13.5,7.64,53.5,53.5,1.34
11/03/2022,Friday,11.0,9.21,64.5,64.5,1.21
12/03/2022,Saturday,7.0,9.36,65.5,65.5,1.02
13/03/2022,Sunday,0.0,7.64,53.5,53.5,0.82
14/03/2022,Monday,0.0,7.64,53.5,53.5,1.0
15/03/2022,Tuesday,12.0,7.79,54.5,54.5,1.02
16/03/2022,Wednesday,0.0,6.21,43.5,43.5,0.8
17/03/2022,Thursday,12.0,6.0,42.0,42.0,0.97
18/03/2022,Friday,0.0,4.43,31.0,31.0,0.74
19/03/2022,Saturday,15.0,5.57,39.0,39.0,1.26
20/03/2022,Sunday,12.0,7.29,51.0,51.0,1.31
21/03/2022,Monday,0.0,7.29,51.0,51.0,1.0
22/03/2022,Tuesday,0.0,5.57,39.0,39.0,0.76
23/03/2022,Wednesday,0.0,5.57,39.0,39.0,1.0
24/03/2022,Thursday,0.0,3.86,27.0,27.0,0.69
25/03/2022,Friday,0.0,3.86,27.0,27.0,1.0
26/03/2022,Saturday,0.0,1.71,12.0,12.0,0.44
27/03/2022,Sunday,0.0,0.0,0.0,0.0,0.0
28/03/2022,Monday,0.0,0.0,0.0,0.0,0.0
29/03/2022,Tuesday,0.0,0.0,0.0,0.0,0.0
30/03/2022,Wednesday,0.0,0.0,0.0,0.0,0.0
31/03/2022,Thursday,0.0,0.0,0.0,0.0,0.0
01/04/2022,Friday,0.0,0.0,0.0,0.0,0.0
02/04/2022,Saturday,0.0,0.0,0.0,0.0,0.0
03/04/2022,Sunday,0.0,0.0,0.0,0.0,0.0
04/04/2022,Monday,0.0,0.0,0.0,0.0,0.0
05/04/2022,Tuesday,0.0,0.0,0.0,0.0,0.0
06/04/2022,Wednesday,0.0,0.0,0.0,0.0,0.0
07/04/2022,Thursday,3.0,0.43,3.0,3.0,0.0
08/04/2022,Friday,0.0,0.43,3.0,3.0,1.0
09/04/2022,Saturday,5.0,1.14,8.0,8.0,2.67
10/04/2022,Sunday,8.0,2.29,16.0,16.0,2.0
11/04/2022,Monday,0.0,2.29,16.0,16.0,1.0
12/04/2022,Tuesday,6.0,3.14,22.0,22.0,1.38
13/04/2022,Wednesday,0.0,3.14,22.0,22.0,1.0
14/04/2022,Thursday,10.0,4.14,29.0,29.0,1.32
15/04/2022,Friday,0.0,4.14,29.0,29.0,1.0
16/04/2022,Saturday,10.0,4.86,34.0,34.0,1.17
17/04/2022,Sunday,0.0,3.71,26.0,26.0,0.76
18/04/2022,Monday,12.0,5.43,38.0,38.0,1.46
19/04/2022,Tuesday,12.8,6.4,44.8,44.8,1.18
20/04/2022,Wednesday,0.0,6.4,44.8,44.8,1.0
21/04/2022,Thursday,0.0,4.97,34.8,34.8,0.78
22/04/2022,Friday,9.0,6.26,43.8,43.8,1.26
23/04/2022,Saturday,7.8,5.94,41.6,41.6,0.95
24/04/2022,Sunday,11.0,7.51,52.6,52.6,1.26
25/04/2022,Monday,0.0,5.8,40.6,40.6,0.77
26/04/2022,Tuesday,11.5,5.61,39.3,39.3,0.97
27/04/2022,Wednesday,0.0,5.61,39.3,39.3,1.0
28/04/2022,Thursday,11.0,7.19,50.3,50.3,1.28
29/04/2022,Friday,13.0,7.76,54.3,54.3,1.08
30/04/2022,Saturday,17.0,9.07,63.5,63.5,1.17
01/05/2022,Sunday,11.5,9.14,64.0,64.0,1.01
02/05/2022,Monday,0.0,9.14,64.0,64.0,1.0
03/05/2022,Tuesday,12.0,9.21,64.5,64.5,1.01
04/05/2022,Wednesday,11.0,10.79,75.5,75.5,1.17
05/05/2022,Thursday,0.0,9.21,64.5,64.5,0.85
06/05/2022,Friday,6.5,8.29,58.0,58.0,0.9
07/05/2022,Saturday,0.0,5.86,41.0,41.0,0.71
08/05/2022,Sunday,10.0,5.64,39.5,39.5,0.96
09/05/2022,Monday,0.0,5.64,39.5,39.5,1.0
10/05/2022,Tuesday,6.0,4.79,33.5,33.5,0.85
11/05/2022,Wednesday,5.0,3.93,27.5,27.5,0.82
12/05/2022,Thursday,0.0,3.93,27.5,27.5,1.0
13/05/2022,Friday,5.5,3.79,26.5,26.5,0.96
14/05/2022,Saturday,15.0,5.93,41.5,41.5,1.57
15/05/2022,Sunday,21.7,7.6,53.2,53.2,1.28
16/05/2022,Monday,3.0,8.03,56.2,56.2,1.06
17/05/2022,Tuesday,14.7,9.27,64.9,64.9,1.15
18/05/2022,Wednesday,13.2,10.44,73.1,73.1,1.13
19/05/2022,Thursday,0.0,10.44,73.1,73.1,1.0
20/05/2022,Friday,21.4,12.71,89.0,89.0,1.22
21/05/2022,Saturday,14.0,12.57,88.0,88.0,0.99
22/05/2022,Sunday,10.0,10.9,76.3,76.3,0.87
23/05/2022,Monday,0.0,10.47,73.3,73.3,0.96
24/05/2022,Tuesday,11.0,9.94,69.6,69.6,0.95
25/05/2022,Wednesday,9.0,9.34,65.4,65.4,0.94
26/05/2022,Thursday,12.0,11.06,77.4,77.4,1.18
27/05/2022,Friday,15.0,10.14,71.0,71.0,0.92
28/05/2022,Saturday,8.0,9.29,65.0,65.0,0.92
29/05/2022,Sunday,17.0,10.29,72.0,72.0,1.11
